seloger_quartier,code_postal,hre,are,bur,ror,bsr,war,ver,vhr,Faible Sensibilité,Forte Sensibilité,Sensibilité Faible à Nulle,Sensibilité Moyenne,Sensibilité Variable,Très Forte Sensibilité
Antiquaire - Notre Dame ,38000,15.842058459559976,360.18716278029734,27.190703406673304,43.512611546373776,0.4450127071716267,0.041213932545616706,28.81019875536102,77.83844168465447,5.067422425280441,0.0,12.435050369267387,38.647306133257274,19.09266549230392,24.75755557989095
Berriat-Ampere,38000,9.155167791691323,961.5193497560457,22.19148946762911,50.76057313984498,1.3608545239499357,8.92765777874531,16.758930566562043,62.38062783818284,2.8582874103740368,3.129351664949577,15.011936354794452,9.481878780922123,55.996791240689475,13.521754548270321
Centre-ville - Victor Hugo,38000,15.204336866065002,227.9968559916708,46.096911282863815,40.34981146330629,0.2754877426917357,0.19619546956088307,13.08153071185405,51.806262330987494,1.6462300160648293,0.0,5.102001352890171,1.7846799305232017,27.283029147823964,64.18405955269783
Championnet-Caserne de Bonne,38000,14.65312297087229,401.2373903468017,41.740639037091654,44.71890768232636,0.16139714604786712,0.05617063143446076,13.32385280896246,65.86286681721764,0.0,0.0,0.0,5.17961679078261,43.06573359504354,51.75464961417385
Hoche,38000,13.390552503571094,312.73638644544064,26.06888887021185,46.17690109682405,1.1659664646487031,0.058460510722316984,26.529945453811308,71.85105295496754,6.186983283891863,0.0,11.560053597718774,30.925101849412663,22.785735503787603,28.542125765189102
Ile Verte,38000,8.232705017746216,137.9614070489518,18.468794231653902,42.6216964210343,0.189258290190267,9.099686004289278,29.61941881942429,76.0844075938614,12.347250763640284,1.8420373473099327,14.944276052883732,23.748985697178554,35.99244468147854,11.125005457508951
Mutualité,38000,10.97282603314414,332.71523024852945,21.630325621172396,34.88326157926129,0.9689681395427655,3.0367146541739274,39.482033851305864,75.62414847247929,8.470821893760874,0.0,29.590186578380074,15.348838327150865,25.966761434703763,20.623391766004413
Préfecture,38000,11.931163274262476,603.6192301964861,42.083912050373996,43.51230170808398,0.16644207745763737,0.055263902980714895,14.183665961846689,58.004467129651395,2.8385319730180347,0.0,3.740464717242092,2.060294895524095,55.33228675151412,36.028421662701675
Saint Laurent,38000,8.350482858262756,167.6349987190727,8.545116815069536,16.961053340176555,1.0119148008216565,8.840569673561042,64.63932199363933,79.88738898210602,4.051418601702595,0.0,63.07838182837013,9.800009843497097,16.208824718775105,6.861365007655091
Abbaye,38100,10.012185501119356,462.9125947130385,21.098110581535096,45.88049372058651,2.4109584128907073,0.3580523235031532,30.252419195043135,67.88078744080055,21.5030748893139,3.0533586531974795,5.738763559229833,38.940947567491676,28.22726788122423,2.5365874495428757
Abry,38100,9.557018687315328,1599.818548761676,19.618040334297028,49.70406397343612,1.9977358522582749,3.652194222468964,25.028073761546736,66.56995107016927,15.293744395918747,0.6650099478463547,12.485206996824829,14.730762627284864,51.218143318947384,5.60713271317783
Allies-Clos d'Or,38100,11.665489061647401,642.1285427441821,25.441567031771193,49.195743873206965,0.8602255076193595,0.12553941647896966,24.377422587403967,71.99355353124108,21.123107235075274,1.87485970828117,7.212804454435718,25.99926420711845,34.95410702525746,8.835857369831917
Arlequin,38100,14.177646644865748,1291.851476091565,23.0204846457835,43.93878879249621,1.201722658769852,0.0468338223342147,31.794649459239825,69.02283276824366,13.611925114402478,0.9190771991883953,6.450876000505242,34.13860069997011,44.44217676318996,0.43734422274382106
