seloger_quartier,code_postal,zn,frac_in_zn
Seine et Berges,75012,14,0.320955297214624
Belleville-Saint Maur,75011,11,0.5155226652115869
Bois de Vincennes,75012,9,0.5307486282222543
Vaugirard-Parc des Expositions,75015,7,0.5379787760275911
République-Saint Ambroise,75011,10,0.5485233418150476
Seine et Berges,75007,1,0.5635716490241458
Vivienne-Gaillon,75002,4,0.5682960554876906
Olympiades-Choisy,75013,13,0.5838760900062131
Père Lachaise-Réunion,75020,14,0.584159333867385
Legendre-Lévis,75017,6,0.590176421333583
Bois de Boulogne,75016,3,0.5973770934847554
Goutte d'Or-Château Rouge,75018,11,0.6112451611639007
Jardin de Reuilly,75012,9,0.6202707591948958
Télégraphe-Pelleport Saint Fargeau,75020,13,0.6248513432668513
Amiraux-Simplon-Poissonniers,75018,11,0.6609498139821591
Gambetta,75020,13,0.6674755698455623
Seine et Berges,75004,2,0.7095581933284121
Secrétan,75019,14,0.7099545081575297
Bastille-Popincourt,75011,11,0.7278531719793232
Mouton Duvernet,75014,10,0.749329001838849
Saint Philippe du Roule,75008,2,0.7612626501234673
Buttes Chaumont,75019,14,0.7642864307971582
Pernety,75014,12,0.7697863990607551
Lafayette-Richer,75009,5,0.786309435090287
La Chapelle-Marx Dormoy,75018,13,0.7984444276346477
Alleray Procession,75015,8,0.8024661364254129
Bel-Air Sud,75012,14,0.8037846242065825
Manin-Jaurès,75019,13,0.8039040041416321
Louis Blanc-Aqueduc,75010,5,0.851496435754665
Mairie,75008,3,0.8659956366824023
Pereire-Malesherbes,75017,6,0.8665230032937878
Raspail-Montparnasse,75014,5,0.8751705217679195
Batignolles-Cardinet,75017,10,0.8769212878185717
Seine et Berges,75015,7,0.8776953498948896
Saint Blaise,75020,13,0.9151016530841238
Île de la Cité,75004,2,0.9194349101405062
Léon-Blum Folie-Regnault,75011,11,0.9213309590033041
Seine et Berges,75001,2,0.9270140085481029
Arsenal,75004,2,0.9376490897461109
Didot-Porte de Vanves,75014,12,0.9399781996908964
Buttes Aux Cailles-Glacière,75013,12,0.9532521508665792
Bas Belleville,75019,14,0.9546442435705185
Grange Aux Belles-Terrage,75010,11,0.968614843624285
Chateau d'Eau-Lancry,75010,11,0.9729010542542197
Charles-Hermite-Evangile,75018,13,0.9731121638895066
Trudaine-Maubeuge,75009,5,0.9770337516595633
Europe,75008,3,0.9778929888619642
Montsouris Dareau,75014,11,0.9798604479235223
Aligre-Gare de Lyon,75012,11,0.9812723433804569
Violet Commerce,75015,7,0.9814816679781267
Parc Monceau,75008,3,0.9821247146540485
Ecole Militaire,75007,1,0.982457071511411
Amandiers,75020,14,0.9831670384932791
Champerret-Berthier,75017,6,0.9833632347609262
Montorgueil-Saint Denis,75002,4,0.9836580567858471
Clichy-Trinité,75009,5,0.9839408618603982
Epinettes-Bessières,75017,11,0.984141293727018
Nation-Picpus,75012,9,0.9846788352211762
Nationale-Deux Moulins,75013,13,0.98499400273654
Bel-Air Nord,75012,14,0.9850494984514957
Plaine,75020,13,0.985782383280605
Dunois-Bibliothèque-Jeanne-d'Arc,75013,13,0.9860052002460693
Val de Grace,75005,4,0.9863088139244551
Bercy,75012,14,0.9867175121684907
Bièvres Sud Tolbiac,75013,12,0.9867437585843155
Danube-Porte des Lilas,75019,13,0.9867992662115277
Sainte Avoie,75003,4,0.9874353090479574
Jean Moulin-Porte d'Orléans,75014,10,0.9879094442211577
Ternes-Maillot,75017,6,0.9882174597394365
Cambronne-Garibaldi,75015,6,0.9886462636518057
Saint Vincent de Paul-Lariboisière,75010,5,0.9894444884248188
Clichy-Batignolles,75017,10,0.9897325783561912
Jardin des Plantes,75005,10,0.9898806860550299
Place des Fêtes,75019,13,0.9906058878847057
Nation-Alexandre Dumas,75011,10,0.9908397978340332
Flandre-Aubervilliers,75019,13,0.992222249021699
Saint Placide,75006,1,0.9923872837729106
La Fourche-Guy Môquet,75017,11,0.9924746612628772
Chaillot,75016,3,0.9926513673005483
Notre Dame des Champs,75006,1,0.9928304763445196
Courcelles-Wagram,75017,6,0.9928673990058848
Hoche-Friedland,75008,2,0.9930883685228975
Saint Merri,75004,2,0.993234490994821
Saint Germain des Prés,75006,2,0.9934284552003473
Muette Sud,75016,3,0.99376821119868
Saint Thomas d'Aquin,75007,1,0.993823925716596
Saint Gervais,75004,4,0.9940337507734682
Rennes,75006,1,0.9941507479647174
Palais Royal,75001,2,0.994470193121494
Croulebarbe,75013,5,0.9948416563390612
Auteuil Nord,75016,7,0.9951642500924575
Saint Victor,75005,4,0.9951971120291003
Montmartre,75018,9,0.9952190092666932
Pont de Flandre,75019,13,0.9953508401939161
Les Halles,75001,5,0.995380446744456
Odéon,75006,2,0.9956253025388756
Triangle d'Or,75008,2,0.9964210115251241
Saint Lambert,75015,8,0.9966240485543932
Dupleix-Motte Picquet,75015,7,0.997099462268037
Georges Brassens,75015,8,0.9975071246132553
Sentier-Bonne Nouvelle,75002,4,0.9976787264373952
Belleville,75020,11,0.9977673681807618
Vallée de Fécamp,75012,9,0.9978442331058971
Lorette-Martyrs,75009,5,0.9979246492768583
Salpêtrière-Austerlitz,75013,10,0.9980416988793288
Pasteur Montparnasse,75015,6,0.9984075411885193
Auteuil Sud,75016,7,0.9984374689217896
Arts et Métiers,75003,4,0.9984579653308112
Moskowa-Porte Montmartre-Porte de Clignancourt,75018,9,0.9985158658011333
Porte Saint Denis-Paradis,75010,5,0.9986232002814724
Saint Germain l'Auxerrois,75001,2,0.9987386479824605
Monnaie,75006,2,0.9988323885344587
Sorbonne,75005,4,0.9990645846829757
Gros Caillou,75007,1,0.9992536151938739
Archives,75003,4,0.9993496974217569
Bassin de la Villette,75019,13,0.9994180903784666
Provence Opéra,75009,2,0.999888758653835
Grandes Carrières-Clichy,75018,9,0.9999460631850651
Enfants Rouges,75003,4,0.9999595489426354
Île Saint Louis,75004,2,0.9999999999999998
Porte Dauphine,75016,3,0.9999999999999998
Patay-Masséna,75013,13,0.9999999999999998
Clignancourt-Jules Joffrin,75018,9,0.9999999999999999
Muette Nord,75016,3,1.0
Emeriau-Zola,75015,7,1.0
Citroën-Boucicaut,75015,7,1.0
Vendôme,75001,2,1.0
Faubourg du Temple-Hôpital Saint Louis,75010,11,1.0
Invalides,75007,1,1.0000000000000002
Elysées-Madeleine,75008,2,1.0000000000000002
